FIPS,State,County,GROC07,GROC12,PCH_GROC_07_12,GROCPTH07,GROCPTH12,PCH_GROCPTH_07_12,SUPERC07,SUPERC12,PCH_SUPERC_07_12,SUPERCPTH07,SUPERCPTH12,PCH_SUPERCPTH_07_12,CONVS07,CONVS12,PCH_CONVS_07_12,CONVSPTH07,CONVSPTH12,PCH_CONVSPTH_07_12,SPECS07,SPECS12,PCH_SPECS_07_12,SPECSPTH07,SPECSPTH12,PCH_SPECSPTH_07_12,SNAPS08,SNAPS12,PCH_SNAPS_08_12,SNAPSPTH08,SNAPSPTH12,PCH_SNAPSPTH_08_12,WICS08,WICS12,PCH_WICS_08_12,WICSPTH08,WICSPTH12,PCH_WICSPTH_08_12
13097,GA,Douglas,16,16,0,0.128695988,0.119428832,-7.200812116,3,3,0,0.024130498,0.022392906,-7.200812116,94,69,-26.59574468,0.756088929,0.515036836,-31.88144719,6,3,-50,0.048260995,0.022392906,-53.60040606,46.33333333,113.75,145.5035971,0.361665535,0.84906435,134.765071,15,21,40,0.117086,0.1567504,33.87629
13099,GA,Early,6,5,-16.66666667,0.508173118,0.471965263,-7.125102259,0,0,0,0,0,0,12,11,-8.333333333,1.016346235,1.038323579,2.162387515,2,0,-100,0.169391039,0,-100,13.25,21,58.49056604,1.132672252,1.982254106,75.00685685,5,4,-20,0.4274235,0.3775722,-11.66321
13101,GA,Echols,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0.250752257,5.962821,0,0,0,0,0,0,2,4,100,0.477326969,1.003009027,110.1303912,0,1,0,0,0.2507523,-8.8732
13103,GA,Effingham,5,4,-20,0.098351627,0.075056762,-23.685287,1,1,0,0.019670325,0.01876419,-4.606608748,22,27,22.72727273,0.432747158,0.506633141,17.07370745,1,1,0,0.019670325,0.01876419,-4.606608748,19.25,35.41666667,83.98268398,0.369410862,0.664565077,79.89862951,8,6,-25,0.1535214,0.1125851,-26.66485
13105,GA,Elbert,6,5,-16.66666667,0.291078446,0.254013412,-12.73369234,0,0,0,0,0,0,12,16,33.33333333,0.582156891,0.812842918,39.62609226,0,0,0,0,0,0,17.75,26.08333333,46.94835681,0.862697448,1.325103299,53.6000021,5,5,0,0.2430134,0.2540134,4.526528
13107,GA,Emanuel,6,3,-50,0.266028199,0.131015809,-50.75115731,0,1,0,0,0.043671936,0,15,18,20,0.665070497,0.786094855,18.19722246,1,1,0,0.044338033,0.043671936,-1.502314613,29.91666667,35.75,19.49860724,1.30225337,1.561271727,19.89001241,11,6,-45.45454,0.478823,0.2620316,-45.27589
13109,GA,Evans,1,1,0,0.087757789,0.093554121,6.604920947,0,0,0,0,0,0,8,11,37.5,0.702062308,1.029095332,46.5817663,1,1,0,0.087757789,0.093554121,6.604920947,12.91666667,21.08333333,63.22580645,1.114755042,1.972432719,76.93866773,2,2,0,0.1726072,0.1871082,8.401157
13111,GA,Fannin,8,8,0,0.354688539,0.340541461,-3.988591861,0,0,0,0,0,0,27,15,-44.44444444,1.19707382,0.638515239,-46.66032881,3,0,-100,0.133008202,0,-100,9,19.58333333,117.5925926,0.396458306,0.833617118,110.2660244,6,5,-16.66667,0.2643055,0.2128384,-19.47259
13113,GA,Fayette,17,16,-5.882352941,0.160478793,0.148803988,-7.274983205,2,2,0,0.018879858,0.018600498,-1.479669655,105,43,-59.04761905,0.991192546,0.399910718,-59.653579,6,3,-50,0.056639574,0.027900748,-50.73983483,32.25,61.91666667,91.98966408,0.303107201,0.575840433,89.97913284,14,14,0,0.1315814,0.1302035,-1.047204
13115,GA,Floyd,20,13,-35,0.210267355,0.135167452,-35.71638749,3,3,0,0.031540103,0.031192489,-1.102134606,75,72,-4,0.788502581,0.748619732,-5.058049222,5,2,-60,0.052566839,0.020794993,-60.44085384,69.41666667,123.5833333,78.03121248,0.725387338,1.284957249,77.14084355,18,20,11.11111,0.1880956,0.2079499,10.55542
