,FIPS,State,County,REDEMP_SNAPS08,REDEMP_SNAPS12,PCH_REDEMP_SNAPS_08_12,PC_SNAPBEN08,PC_SNAPBEN10,PCH_PC_SNAPBEN_08_10,PCT_FREE_LUNCH06,PCT_FREE_LUNCH10,PCT_REDUCED_LUNCH06,PCT_REDUCED_LUNCH10,PC_WIC_REDEMP08
128,13261,GA,Sumter,0.68088741,0.331058821,5.79E-05,0.791536884,0.819334455,0.231269046,0.800505051,0.789658113,0.47826087,-2.722939201,0.614036688
129,13263,GA,Talbot,0.09359445,0.027229157,0,0.577296494,0.555955389,0.204403262,0.777777778,0.816172085,0.47826087,-4.589618403,0.478165812
130,13265,GA,Taliaferro,0.763046026,0.110123003,0.000151855,0.779119712,0.84154437,0.262487572,0.910353535,0.857012415,0.543478261,-4.840425686,0.439399665
131,13267,GA,Tattnall,0.095191398,0.099646785,0.000125455,0.344605259,0.353018245,0.291724611,0.531565657,0.622650088,0.543478261,-4.368418769,0.398470585
132,13269,GA,Taylor,0.015183369,0.129405588,0.000413765,0.554452479,0.58212212,0.264414426,0.619949495,0.715666107,0.398550725,-2.491898899,0.33723162
133,13271,GA,Telfair,0.124778233,0.162062234,0.00018728,0.512781808,0.402562177,0.09871103,0.603535354,0.659431352,0.442028986,-2.91698607,0.400584346
134,13273,GA,Terrell,0.496487967,0.2184946,4.39E-05,0.870811328,1,0.302965865,0.628787879,0.798283731,0.442028986,-1.678613695,0.340646816
135,13275,GA,Thomas,0.273353661,0.194745534,0.000101249,0.42507732,0.52635254,0.40599891,0.491161616,0.53127796,0.543478261,-2.778535441,0.289828643
136,13277,GA,Tift,0.315796731,0.220510983,0.0001011,0.489373227,0.799325887,0.650648246,0.492424242,0.565890353,0.326086957,-1.59327506,0.583897064
137,13279,GA,Toombs,0.388032156,0.311882559,0.000130796,0.578543388,0.70558306,0.372696873,0.606060606,0.609318338,0.449275362,-2.013736645,0.558761402
138,13281,GA,Towns,0.129651428,0.101183351,9.31E-05,0.172431573,0.282861153,0.714925196,0.294191919,0.402795403,0.630434783,-4.506598055,0.482392464
139,13283,GA,Treutlen,0.155280756,0.094056609,6.49E-05,0.663548699,0.723407154,0.278675485,0.588383838,0.611314129,0.644927536,-3.192446664,0.410434449
140,13285,GA,Troup,0.593247195,0.31420631,6.81E-05,0.446986093,0.475568074,0.290975535,0.513888889,0.516440603,0.268115942,-1.931376185,0.307422166
141,13287,GA,Turner,0.119381657,0.113438275,0.000120836,0.713066951,0.364826822,0.148191787,0.632575758,0.716474332,0.253623188,-1.894644731,0.415258487
142,13289,GA,Twiggs,0.049631609,0.052176696,8.75E-05,0.42402074,0.505001702,0.376223616,0.718434343,0.790972402,0.782608696,-4.089200887,0.340812956
143,13291,GA,Union,0.303538488,0.205165095,9.50E-05,0.206199375,0.321392887,0.656254369,0.174242424,0.230352012,0.543478261,-3.078660378,0.14061213
144,13293,GA,Upson,0.346492924,0.228329922,9.35E-05,0.527181926,0.62258441,0.353519473,0.518939394,0.53389047,0.420289855,-3.35972093,0.267718032
145,13295,GA,Walker,0.27296665,0.157345003,7.00E-05,0.35405528,0.390312311,0.337004826,0.410353535,0.489962563,0.586956522,-4.281063148,0.174794385
146,13297,GA,Walton,0.831383511,0.241705002,7.14E-06,0.264954992,0.351969328,0.501998243,0.243686869,0.349310275,0.268115942,-1.90839958,0.122388688
147,13299,GA,Ware,0.381149506,0.266617296,0.000105034,0.482400714,0.582715341,0.377236038,0.512626263,0.568820529,0.376811594,-2.136701694,0.525760633
148,13301,GA,Warren,0.20756767,0.121400911,6.69E-05,0.655312148,0.742338326,0.30775271,0.926767677,0.861653846,0.442028986,-2.137491276,0.418700256
149,13303,GA,Washington,0.385786881,0.307420713,0.00012899,0.4742975,0.566454159,0.369689645,0.554292929,0.488127922,0.724637681,-6.163593547,0.362631642
150,13305,GA,Wayne,0.359313235,0.25615205,0.000107167,0.499568197,0.562721232,0.32203565,0.483585859,0.536623434,0.449275362,-1.802389914,0.368657779
151,13307,GA,Webster,0.007316221,0,0.000123424,0.518581058,0.512344797,0.229356864,0.497474747,0.612083053,1,-4.164496064,0.409263393
152,13309,GA,Wheeler,0.042700728,0.071569212,0.000147005,0.44837702,0.448954718,0.250701639,0.638888889,0.675502717,0.673913043,-4.238813378,0.489154314
153,13311,GA,White,0.324285937,0.25485833,0.000122401,0.237170459,0.339096605,0.57126426,0.255050505,0.398485722,0.405797101,-2.871288691,0.141507278
154,13313,GA,Whitfield,0.290625418,0.20981635,0.000104847,0.251338553,0.341261912,0.524223006,0.463383838,0.582393135,0.594202899,-3.735222616,0.756773841
155,13315,GA,Wilcox,0.083415589,0.082859913,0.000109333,0.561046528,0.523732328,0.187324108,0.698232323,0.706194835,0.275362319,-0.243211525,0.390494841
156,13317,GA,Wilkes,0.414570844,0.208017866,5.78E-05,0.552079361,0.60198156,0.29119627,0.583333333,0.669758888,0.514492754,-2.83976308,0.310885416
157,13319,GA,Wilkinson,0.198359027,0.067995085,1.45E-05,0.552187693,0.658787017,0.358277912,0.698232323,0.759780382,0.666666667,-3.325770399,0.338697085
158,13321,GA,Worth,0.245575587,0.200423346,0.000121939,0.540413979,0.56205364,0.259926629,0.53030303,0.590791139,0.463768116,-2.517595309,0.4343099
