,FIPS,State,County,LACCESS_POP10,PCT_LACCESS_POP10,LACCESS_LOWI10,PCT_LACCESS_LOWI10,LACCESS_CHILD10,PCT_LACCESS_CHILD10,LACCESS_SENIORS10,PCT_LACCESS_SENIORS10,LACCESS_HHNV10,PCT_LACCESS_HHNV10
0,13001,GA,Appling,0.013138185,0.216532514,0.017231108,0.132939547,0.011007573,0.203131286,0.022259089,0.209840736,0.033504016,0.280480833
1,13003,GA,Atkinson,0.006918904,0.248296048,0.014802348,0.248665981,0.007282652,0.292630509,0.009782564,0.200807471,0.014053307,0.323881273
2,13005,GA,Bacon,0.002833655,0.076753454,0.004900672,0.062138358,0.002613821,0.07927281,0.005487862,0.085025411,0.009099433,0.141295326
3,13007,GA,Baker,0.009530527,0.830021404,0.024293463,0.990410058,0.007792084,0.759842388,0.017080324,0.850869854,0.019250703,1
4,13009,GA,Baldwin,0.029580237,0.194452155,0.063450909,0.195255015,0.024524939,0.180516355,0.045856596,0.172427922,0.069587573,0.218020881
5,13011,GA,Banks,0.006563957,0.107246542,0.01083447,0.082866395,0.006167499,0.112829876,0.008230523,0.076920061,0.025040325,0.215958145
6,13013,GA,Barrow,0.036663768,0.158855229,0.064271317,0.130357151,0.037068349,0.179831258,0.032499177,0.080543677,0.051075846,0.089192662
7,13015,GA,Bartow,0.120259375,0.360873482,0.187722966,0.2636979,0.120638175,0.405338911,0.129613345,0.222474588,0.101181414,0.128634957
8,13017,GA,Ben Hill,0.014156668,0.241283461,0.034829789,0.277888505,0.01398963,0.266974784,0.022750271,0.221792952,0.050351154,0.442005138
9,13019,GA,Berrien,0.009571186,0.149156067,0.019351739,0.141171944,0.008671644,0.151312267,0.015940303,0.142090952,0.023720712,0.178178917
10,13021,GA,Bibb,0.127469373,0.246298374,0.194904084,0.176290891,0.123275591,0.266704474,0.198926354,0.219858208,0.137292752,0.091746317
11,13023,GA,Bleckley,0.003432895,0.07898323,0.005878677,0.063315096,0.003113823,0.080216884,0.00587692,0.077342615,0.008268084,0.111700949
12,13025,GA,Brantley,0.010185679,0.16627614,0.016446825,0.125682634,0.010180982,0.186091767,0.01268974,0.118491537,0.035849181,0.30555657
13,13027,GA,Brooks,0.004870138,0.090114017,0.010356184,0.089702403,0.004672626,0.096807635,0.007699574,0.081491528,0.015194377,0.132033587
14,13029,GA,Bryan,0.015182503,0.150931354,0.009372357,0.04361523,0.015858546,0.17652124,0.016118413,0.091654343,0.017600158,0.072099879
15,13031,GA,Bulloch,0.038817988,0.166152962,0.115726196,0.231878231,0.024102923,0.115516037,0.03137295,0.076811295,0.084498643,0.16087742
